id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
41,81 Ceti b,330,3.307 Jupiters,5.64307,2008
42,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
43,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
44,AB Aurigae b,529,9 Jupiters,7.076,2022
45,AB Pictoris b,163,13.5 Jupiters,9.13,2005
46,AF Leporis b,88,3.2 Jupiters,6.332,2023
47,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
48,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
49,AU Microscopii b,32,20.12 Earths,8.81,2020
50,AU Microscopii c,32,9.6 Earths,8.81,2021
51,b Centauri AB b,320,10.9 Jupiters,4.01,2021
52,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
53,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
54,BD-06 1339 b,66,8.5 Earths,9.7,2013
55,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
56,BD-08 2823 b,135,12.7132 Earths,9.86,2009
57,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
58,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
59,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
60,BD-11 4672 c,89,15.37 Earths,10.03,2020
61,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
62,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
63,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
64,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
65,BD-17 63 b,112,5.1 Jupiters,9.62,2008
66,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
67,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
68,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
69,BD+20 594 b,585,22.2481 Earths,10.849,2016
70,BD-210397 b,77,0.7 Jupiters,9.84,2023
71,BD-210397 c,77,4.8 Jupiters,9.84,2023
72,BD+45 564 b,175,1.36 Jupiters,9.67,2021
73,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
74,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
75,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
76,BD+55 362 b,171,0.72 Jupiters,9.38,2021
77,BD+60 1417 b,147,15 Jupiters,9.374,2021
78,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
79,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
80,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
81,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
82,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
83,CD Ceti b,28,3.95 Earths,13.95,2020
84,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
85,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
86,CHXR 73 b,621,12.569 Jupiters,,2006
87,CI Tauri b,515,11.6 Jupiters,13.642,2019
88,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
89,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
90,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
91,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
92,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
93,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
94,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
95,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
96,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
97,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
98,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
99,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
100,CoRoT-20 c,2753,17 Jupiters,14.63,2018
101,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
102,CoRoT-22 b,2046,12.2 Earths,13.82,2014
103,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
104,CoRoT-24 b,1930,5.7 Earths,15.383,2014
105,CoRoT-24 c,1930,28 Earths,15.383,2014
106,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
107,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
108,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
109,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
110,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
111,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
112,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
113,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
114,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
115,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
116,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
117,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
118,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
119,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
120,CoRoT-7 b,522,4.07661 Earths,11.728,2009
121,CoRoT-7 c,522,8.4 Earths,11.728,2009
122,CoRoT-7 d,522,17.142 Earths,11.728,2022
123,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
124,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
125,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
126,CT Chamaleontis b,622,17 Jupiters,12.335,2007
127,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
128,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
129,DH Tauri b,440,11 Jupiters,13.98,2004
130,DMPP-1 b,204,24.27 Earths,7.98,2019
131,DMPP-1 c,204,9.6 Earths,7.98,2019
132,DMPP-1 d,204,3.35 Earths,7.98,2019
133,DMPP-1 e,204,4.13 Earths,7.98,2019
134,DMPP-2 b,450,0.437 Jupiters,8.57,2019
135,DMPP-3 A b,148,2.58 Earths,9.066,2019
136,DMPP-4 b,83,12.2 Earths,5.72936,2023
137,DP Leonis b,997,6.28 Jupiters,18.6837,2009
138,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
139,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
140,EPIC 201238110 b,520,4.16 Earths,16.014,2019
141,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
142,EPIC 201497682 b,825,0.26 Earths,13.948,2019
143,EPIC 201595106 b,757,2.24 Earths,11.746,2021
144,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
145,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
146,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
147,EPIC 201833600 c,840,0.972 Earths,14.705,2019
148,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
149,EPIC 205950854 c,796,2.27 Earths,12.365,2019
150,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
151,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
152,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
153,EPIC 206032309 b,526,1.01 Earths,17.89,2019
154,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
155,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
156,EPIC 206215704 b,358,0.972 Earths,17.83,2019
157,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
158,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
159,EPIC 211822797 b,607,4.35 Earths,15.133,2016
160,EPIC 211945201 b,593,27 Earths,10.154,2018
161,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
162,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
163,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
164,EPIC 212499991 b,924,3.19 Earths,13.672,2019
165,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
166,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
167,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
168,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
169,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
170,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
171,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
172,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
173,EPIC 220674823 b,798,8.21 Earths,12.101,2016
174,EPIC 220674823 c,798,8.9 Earths,12.101,2016
175,EPIC 228836835 b,490,1.37 Earths,16.77,2021
176,EPIC 229004835 b,398,10.4 Earths,10.23,2023
177,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
178,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
179,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
180,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
181,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
182,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
183,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
184,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
185,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
186,FU Tauri b,435,16 Jupiters,,2008
187,G 264-012 b,52,2.5 Earths,13.078,2021
188,G 264-012 c,52,3.75 Earths,13.078,2021
189,G 9-40 b,91,11.7 Earths,13.821,2019
190,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
191,Gaia-2 b,683,0.817 Jupiters,11.277,2022
192,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
193,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
194,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
195,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
196,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
197,GJ 1002 b,16,1.08 Earths,13.76,2022
198,GJ 1002 c,16,1.36 Earths,13.76,2022
199,GJ 1061 b,12,1.37 Earths,12.7,2020
200,GJ 1061 c,12,1.74 Earths,12.7,2020
201,GJ 1061 d,12,1.64 Earths,12.7,2020
202,GJ 1132 b,41,1.66 Earths,13.68,2015
203,GJ 1132 c,41,2.64 Earths,13.68,2018
204,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
205,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
206,GJ 1151 c,26,10.62 Earths,13.76,2023
207,GJ 1214 b,48,8.17 Earths,15.1,2009
208,GJ 1252 b,66,1.32 Earths,12.68,2020
209,GJ 1265 b,33,7.4 Earths,14.01,2018
210,GJ 143 b,53,22.7 Earths,8.08,2019
211,GJ 15 A b,12,3.03 Earths,8.09,2014
212,GJ 15 A c,12,36 Earths,8.09,2018
213,GJ 160.2 b,84,10.2 Earths,9.7,2014
214,GJ 163 b,49,10.6 Earths,11.79,2013
215,GJ 163 c,49,6.8 Earths,11.79,2013
216,GJ 163 d,49,29.4 Earths,11.79,2013
217,GJ 179 b,40,0.95 Jupiters,11.963,2009
218,GJ 180 b,39,6.49 Earths,10.914,2014
219,GJ 180 c,39,6.4 Earths,10.914,2014
220,GJ 180 d,39,7.56 Earths,10.914,2020
221,GJ 2030 b,121,4.76743 Earths,6.20902,2022
222,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
223,GJ 2056 b,93,16.2 Earths,10.37,2020
224,GJ 229 A c,19,8.58137 Earths,8.15,2020
225,GJ 229 b,19,14.93794 Earths,8.15,2014
226,GJ 251 b,18,4 Earths,9.89,2020
227,GJ 27.1 b,77,13 Earths,11.45,2014
228,GJ 273 b,19,2.89 Earths,9.84,2017
229,GJ 273 c,19,1.18 Earths,9.84,2017
230,GJ 3021 b,57,3.37 Jupiters,6.59,2000
231,GJ 3082 b,54,8.2 Earths,11.041,2020
232,GJ 3090 b,73,3.34 Earths,11.403,2022
233,GJ 3138 b,93,1.78 Earths,10.8275,2017
234,GJ 3138 c,93,4.18 Earths,10.8275,2017
235,GJ 3138 d,93,10.5 Earths,10.8275,2017
236,GJ 317 b,50,2.5 Jupiters,12.4,2007
237,GJ 317 c,50,1.64396 Jupiters,12.4,2018
238,GJ 3222 b,59,11.44182 Earths,6.9,2022
239,GJ 328 b,67,2.51 Jupiters,9.99,2013
240,GJ 328 c,67,21.4 Earths,9.99,2023
241,GJ 3293 b,66,23.54 Earths,11.945,2015
242,GJ 3293 c,66,21.09 Earths,11.945,2015
243,GJ 3293 d,66,7.6 Earths,11.945,2017
244,GJ 3293 e,66,3.28 Earths,11.945,2017
245,GJ 3323 b,18,2.02 Earths,12.57,2017
246,GJ 3323 c,18,2.31 Earths,12.57,2017
247,GJ 3341 b,77,6.6 Earths,12.062,2015
248,GJ 338 B b,21,10.6 Earths,7.7,2020
249,GJ 3470 b,96,13.9 Earths,12.332,2012
